timestamp,frame_interval_ms,frame_jitter_ms,collect_ms,render_ms,lock_wait_ms,total_ms
1778362824.674485,23.18,1.33,0.01,3.0,0,3.01
1778362825.8290565,23.1,1.44,0.01,2.35,0,2.35
1778362826.981831,23.04,0.95,0.01,3.05,0,3.06
1778362828.1350863,23.07,1.1,0.01,3.01,0,3.02
1778362829.2917721,23.14,2.05,0.01,2.66,0,2.67
1778362830.4443483,23.04,0.93,0.01,3.07,0,3.08
1778362831.607125,23.26,5.65,0.01,3.08,0,3.09
1778362832.7672863,23.2,4.17,0.02,3.0,0,3.02
1778362833.9233575,23.12,1.05,0.02,3.1,0,3.11
1778362835.0827785,23.2,1.17,0.01,2.67,0,2.69
1778362836.2184803,22.44,2.08,0.01,16.41,0,16.42
1778362837.352185,22.98,15.65,0.01,1.32,0,1.33
1778362838.435127,21.66,9.46,0.0,1.24,0,1.25
1778362839.5645173,22.59,13.7,0.0,1.19,0,1.2
1778362840.6762288,22.23,15.35,0.0,1.21,0,1.21
1778362841.8514898,23.36,9.93,0.02,8.36,0,8.38
1778362843.032356,23.73,9.29,0.01,2.72,0,2.73
1778362844.224218,23.59,14.3,0.01,15.28,0,15.29
1778362845.4137533,24.04,13.54,0.02,2.81,0,2.83
1778362846.6035855,23.54,14.52,0.01,15.5,0,15.51
1778362847.7979538,24.15,13.82,0.02,2.43,0,2.44
1778362848.9825673,23.57,8.59,0.01,8.42,0,8.43
1778362850.167662,23.81,9.37,0.02,3.0,0,3.02
1778362851.3480132,23.61,8.81,0.01,3.02,0,3.03
1778362852.5375898,23.79,9.42,0.02,3.14,0,3.16
1778362853.7279878,23.7,9.19,0.03,8.24,0,8.27
1778362854.913948,23.83,10.16,0.01,3.01,0,3.03
1778362856.0960062,23.65,8.96,0.01,2.67,0,2.68
1778362857.277494,23.62,9.05,0.01,3.02,0,3.03
1778362858.4732711,23.76,15.92,0.01,10.96,0,10.97
1778362859.659917,23.89,14.76,0.02,3.04,0,3.06
1778362860.8732195,24.13,15.67,0.02,9.63,0,9.65
1778362862.0632749,23.94,8.82,0.02,2.66,0,2.68
1778362863.2521033,23.78,9.44,0.02,2.46,0,2.47
1778369314.068516,6560.67,326875.5,0.04,2.76,0,2.79
1778369315.231219,23.24,2.47,0.07,3.19,0,3.26
1778369316.397535,23.33,2.52,0.06,3.19,0,3.25
1778369317.561988,23.3,2.37,0.04,2.86,0,2.9
1778369318.705672,22.91,4.04,0.02,1.26,0,1.27
1778369319.776675,21.42,1.07,0.02,1.27,0,1.28
1778369320.8479867,21.43,1.06,0.02,1.27,0,1.29
1778369321.9195275,21.43,1.08,0.02,1.29,0,1.31
1778369322.9930956,21.47,1.49,0.02,1.28,0,1.31
1778369324.121466,22.53,3.34,0.05,3.22,0,3.26
1778369325.2838306,23.25,1.82,0.04,3.19,0,3.23
1778369326.449718,23.32,3.49,0.04,3.15,0,3.19
1778369327.6157982,23.33,1.69,0.04,2.8,0,2.84
1778369328.781149,23.31,1.72,0.04,2.83,0,2.87
1778369329.9457848,23.28,2.01,0.09,3.43,0,3.52
1778369331.1152425,23.4,1.75,0.06,3.21,0,3.26
1778369332.279508,23.29,1.57,0.04,3.2,0,3.24
1778369333.4487813,23.38,3.72,0.04,3.25,0,3.29
1778369334.6130173,23.29,1.75,0.04,2.73,0,2.77
1778369335.7784445,23.31,2.45,0.04,2.84,0,2.88
1778369336.9413605,23.26,1.84,0.08,2.87,0,2.95
1778369338.0922883,23.02,23.16,0.02,2.76,0,2.78
1778369339.2526326,23.2,1.73,0.03,3.12,0,3.15
1778369340.4196594,23.34,5.76,0.03,3.08,0,3.1
1778369341.582946,23.27,2.29,0.03,3.07,0,3.1
1778369342.7439098,23.22,2.24,0.03,3.11,0,3.14
1778369343.9066494,23.26,1.79,0.02,2.75,0,2.78
